"CALLSIGN"	"FREQUENCY"	"SERVICE"	"CLASS"	"STATUS"	"CITY"	"STATE"	"COUNTRY"	"FILENUM"	"FACID"	"LAT"	"LON"	"LICENSEE"	"LATDD"	"LONDD"	"deleted"
"K245AL"	"96.9  MHz"	"FX"	"D"	"LIC"	"NEW HAMPTON"	"IA"	"US"	"BLFT   -20070514ABO"	152277	"43-4-42N"	"92-18-44W"	"HORIZON CHRISTIAN FELLOWSHIP"	43.0783	92.3122	0
"K245AM"	"96.9  MHz"	"FX"	"D"	"LIC"	"LE MARS"	"IA"	"US"	"BLFT   -20090724AAI"	152251	"42-49-4N"	"96-9-47W"	"POWELL BROADCASTING COMPANY, L.L.C."	42.8178	96.1631	0
"K245AP"	"96.9  MHz"	"FX"	"D"	"LIC"	"MISSOULA"	"MT"	"US"	"BLFT   -20070621AQO"	143897	"46-52-56N"	"113-59-13W"	"CCR-MISSOULA IV, LLC"	46.8822	113.9869	0
"K245AR"	"96.9  MHz"	"FX"	"D"	"LIC"	"LITTLE FISH LAKE VAL"	"CA"	"US"	"BLFT   -20070824AGX"	138839	"37-40-16N"	"118-4-10W"	"LIVING PROOF, INC."	37.6711	118.0694	0
"K245AT"	"96.9  MHz"	"FX"	"D"	"LIC"	"COFFMAN COVE"	"AK"	"US"	"BLFT   -20070829ACF"	149786	"56-0-58N"	"132-49-37W"	"WRANGELL RADIO GROUP"	56.0161	132.8269	0
"K245AU"	"96.9  MHz"	"FX"	"D"	"LIC"	"EAST QUINCY"	"CA"	"US"	"BLFT   -20070105ADW"	151371	"39-56-25N"	"120-55-39W"	"JOHN REGH"	39.9403	120.9275	0
"K245AW"	"96.9  MHz"	"FX"	"D"	"LIC"	"RIVERIA, ETC."	"AZ"	"US"	"BLFT   -20080619AIH"	54323	"35-14-48N"	"114-44-32W"	"ADVANCE MINISTRIES, INC."	35.2467	114.7422	0
"K245AX"	"96.9  MHz"	"FX"	"D"	"LIC"	"RANGLEY"	"CO"	"US"	"BLFT   -20070813AAE"	156823	"40-1-6N"	"108-41-17W"	"RIO BLANCO COUNTY TV ASSOCIATION"	40.0183	108.6881	0
"K245AZ"	"96.9  MHz"	"FX"	"D"	"LIC"	"DUBUQUE"	"IA"	"US"	"BLFT   -20070406AAN"	152221	"42-30-12N"	"90-44-54W"	"HORIZON CHRISTIAN FELLOWSHIP"	42.5033	90.7483	0
"K245BA"	"96.9  MHz"	"FX"	"D"	"LIC"	"SHREVEPORT"	"LA"	"US"	"BLFT   -20080306AAC"	140158	"32-30-32N"	"93-44-35W"	"HOUSTON CHRISTIAN BROADCASTERS, INC."	32.5089	93.7431	0
"K245BC"	"96.9  MHz"	"FX"	"D"	"LIC"	"PRINEVILLE"	"OR"	"US"	"BLFT   -20081008ACX"	151166	"44-26-13N"	"120-57-11W"	"HORIZON BROADCASTING GROUP LLC"	44.4369	120.9531	0
"K245BD"	"96.9  MHz"	"FX"	"D"	"LIC"	"SPEARFISH"	"SD"	"US"	"BLFT   -20100607AAU"	142015	"44-29-33N"	"103-50-5W"	"PHASOR PHYSICS, INC."	44.4925	103.8347	0
"K246AA"	"97.1  MHz"	"FX"	"D"	"LIC"	"PRESCOTT"	"AZ"	"US"	"BLFT   -19931115TE"	41610	"34-29-20N"	"112-32-15W"	"PRESCOTT SOUND INVESTMENTS, LLC"	34.4889	112.5375	0
"K246AE"	"97.1  MHz"	"FX"	"D"	"LIC"	"LAKE HAVASU CITY"	"AZ"	"US"	"BLFT   -20100108AAQ"	9039	"34-33-6N"	"114-11-37W"	"STEVEN M. GREELEY"	34.5517	114.1936	0
"K246AH"	"97.1  MHz"	"FX"	"D"	"LIC"	"THOMASVILLE"	"CO"	"US"	"BLFT   -20070308AEZ"	138069	"39-21-12N"	"106-41-0W"	"PITKIN COUNTY TRANSLATOR DEPARTMENT"	39.3533	106.6833	0
"K246AM"	"97.1  MHz"	"FX"	"D"	"LIC"	"JAMESTOWN"	"ND"	"US"	"BLFT   -20100401ADH"	141985	"46-52-47N"	"98-43-4W"	"TWO RIVERS BROADCASTING, INC."	46.8797	98.7178	0
"K246AN"	"97.1  MHz"	"FX"	"D"	"LIC"	"SILVERTON"	"CO"	"US"	"BLFT   -20070719ACB"	146590	"37-48-44N"	"107-39-59W"	"NATIVE AMERICAN CHRISTIAN VOICE, INC."	37.8122	107.6664	0
"K246AO"	"97.1  MHz"	"FX"	"D"	"LIC"	"BEAVER"	"UT"	"US"	"BLFT   -20070806AAF"	147963	"38-17-36N"	"112-39-48W"	"CANYON MEDIA GROUP, LLC"	38.2933	112.6633	0
"K246AP"	"97.1  MHz"	"FX"	"D"	"LIC"	"TAMA"	"IA"	"US"	"BLFT   -20070803ADY"	142500	"41-57-44N"	"92-34-42W"	"STARBOARD MEDIA FOUNDATION, INC."	41.9622	92.5783	0
"K246AQ"	"97.1  MHz"	"FX"	"D"	"LIC"	"COTTONWOOD"	"AZ"	"US"	"BLFT   -20070423ABA"	138591	"34-41-12N"	"112-7-0W"	"YAVAPAI BROADCASTING CORPORATION"	34.6867	112.1167	0
"K246AR"	"97.1  MHz"	"FX"	"D"	"LIC"	"GREEN VALLEY LAKE"	"CA"	"US"	"BLFT   -20070803ADG"	138858	"34-13-20N"	"117-5-38W"	"CALVARY CHAPEL OF REDLANDS, INC."	34.2222	117.0939	0
"K246AW"	"97.1  MHz"	"FX"	"D"	"LIC"	"HYDE PARK"	"UT"	"US"	"BLFT   -20100622ADO"	144783	"41-52-18N"	"111-48-31W"	"SUN VALLEY RADIO, INC."	41.8717	111.8086	0
"K246AX"	"97.1  MHz"	"FX"	"D"	"LIC"	"WESTERN DISTRICT"	"AS"	"US"	"BLFT   -20070928AAJ"	155406	"14-19-2.4S"	"170-46-2.8W"	"LEONE CHURCH OF CHRIST"	14.3173	170.7674	0
"K246AY"	"97.1  MHz"	"FX"	"D"	"LIC"	"HONOLULU"	"HI"	"US"	"BLFT   -20071001AEQ"	146666	"21-23-45N"	"158-5-58W"	"HOCHMAN HAWAII THREE, INC."	21.3958	158.0994	0
"K246BA"	"97.1  MHz"	"FX"	"D"	"LIC"	"BOZEMAN"	"MT"	"US"	"BLFT   -20100128AGJ"	150144	"45-39-59N"	"111-2-47W"	"BOARD OF REGENTS--MONTANA UNIVERSITY SYSTEM"	45.6664	111.0464	0
"K246BB"	"97.1  MHz"	"FX"	"D"	"LIC"	"KENO"	"OR"	"US"	"BLFT   -20050808ABA"	139146	"42-8-43N"	"121-46-15W"	"CALVARY CHAPEL OF TWIN FALLS, INC."	42.1453	121.7708	0
"K246BC"	"97.1  MHz"	"FX"	"D"	"LIC"	"WOODWARD"	"OK"	"US"	"BLFT   -20071114AGS"	21795	"36-24-8N"	"99-28-44W"	"FLORIDA PUBLIC RADIO, INC."	36.4022	99.4789	0
"K246BD"	"97.1  MHz"	"FX"	"D"	"LIC"	"SUNSET VALLEY"	"TX"	"US"	"BLFT   -20091019ABU"	139279	"30-19-24N"	"97-48-6W"	"JAMES A. BUMPOUS D/B/A BIG BEND BROADCASTING"	30.3233	97.8017	0
"K246BE"	"97.1  MHz"	"FX"	"D"	"LIC"	"WILLIAMSBURG"	"IA"	"US"	"BLFT   -20070122AAL"	152290	"41-39-54N"	"92-1-14W"	"EXTREME GRACE MEDIA, INC."	41.665	92.0206	0
"K246BG"	"97.1  MHz"	"FX"	"D"	"LIC"	"WINDOM"	"MN"	"US"	"BLFT   -20070514ABP"	152870	"43-52-51N"	"95-7-10W"	"MINNESOTA PUBLIC RADIO"	43.8808	95.1194	0
"K246BI"	"97.1  MHz"	"FX"	"D"	"LIC"	"WINSLOW"	"AZ"	"US"	"BLFT   -20070806AAT"	150097	"35-1-30N"	"110-41-29W"	"RADIO ASSIST MINISTRY, INC."	35.025	110.6914	0
"K246BK"	"97.1  MHz"	"FX"	"D"	"LIC"	"MOAPA"	"NV"	"US"	"BLFT   -20070723ABK"	142762	"36-41-0N"	"114-30-48W"	"ROCKWELL MEDIA FOUNDATION INC"	36.6833	114.5133	0
"K246BL"	"97.1  MHz"	"FX"	"D"	"LIC"	"LIVINGSTON"	"MT"	"US"	"BLFT   -20070821AEN"	146548	"45-41-49N"	"110-46-3W"	"HI-LINE RADIO FELLOWSHIP, INC."	45.6969	110.7675	0
"K246BO"	"97.1  MHz"	"FX"	"D"	"LIC"	"EL PASO DE ROBLES"	"CA"	"US"	"BLFT   -20080404ABD"	146718	"35-36-54N"	"120-38-51W"	"RADIO ASSIST MINISTRY, INC."	35.615	120.6475	0
"K247AC"	"97.3  MHz"	"FX"	"D"	"LIC"	"BAGDAD"	"AZ"	"US"	"BLFT   -19930907TH"	14876	"34-34-10N"	"113-10-55W"	"PHELPS DODGE BAGDAD, INC."	34.5694	113.1819	0
"K247AD"	"97.3  MHz"	"FX"	"D"	"LIC"	"CARBONDALE"	"CO"	"US"	"BLFT   -20050314AIC"	77372	"39-25-24N"	"107-22-32W"	"PITKIN COUNTY TRANSLATOR DEPARTMENT"	39.4233	107.3756	0
"K247AG"	"97.3  MHz"	"FX"	"D"	"LIC"	"CEDAR CITY"	"UT"	"US"	"BLFT   -19990112TH"	85690	"37-38-18N"	"113-1-49W"	"UTAH STATE UNIVERSITY OF AGRICULTURE AND APPLIED SCIENCE"	37.6383	113.0303	0
"K247AN"	"97.3  MHz"	"FX"	"D"	"LIC"	"BIG PINEY, LA BARGE"	"WY"	"US"	"BLFT   -20041020ACB"	141766	"42-19-27N"	"110-19-35W"	"WESTERN INSPIRATIONAL BROADCASTERS, INC."	42.3242	110.3264	0
"K247AP"	"97.3  MHz"	"FX"	"D"	"LIC"	"STEAMBOAT SPRINGS"	"CO"	"US"	"BLFT   -20060104AAO"	151696	"40-27-43.1N"	"106-50-57.8W"	"SKANDIA, LLC"	40.462	106.8494	0
"K247AQ"	"97.3  MHz"	"FX"	"D"	"LIC"	"ASHLAND"	"OR"	"US"	"BLFT   -20061113ADG"	139138	"42-4-59N"	"122-42-4W"	"CALVARY CHAPEL OF TWIN FALLS, INC."	42.0831	122.7011	0
"K247AR"	"97.3  MHz"	"FX"	"D"	"LIC"	"ALGONA"	"IA"	"US"	"BLFT   -20070406AAD"	152171	"43-4-5N"	"94-12-8W"	"MINN-IOWA CHRISTIAN BROADCASTING, INC."	43.0681	94.2022	0
"K247AT"	"97.3  MHz"	"FX"	"D"	"LIC"	"CHANUTE"	"KS"	"US"	"BLFT   -20070514ABI"	152548	"37-41-0N"	"95-35-40W"	"RADIO ASSIST MINISTRY, INC."	37.6833	95.5944	0
"K247AU"	"97.3  MHz"	"FX"	"D"	"LIC"	"DURANGO"	"CO"	"US"	"BLFT   -20070515AAA"	151502	"37-15-46N"	"107-53-45W"	"FOUR CORNERS BROADCASTING LLC"	37.2628	107.8958	0
"K247AW"	"97.3  MHz"	"FX"	"D"	"LIC"	"LEWISTON"	"ID"	"US"	"BLFT   -20070620ACR"	156787	"46-27-22N"	"117-2-56W"	"XANA DUKE RADIO PARTNERS, LLC"	46.4561	117.0489	0
"K247AX"	"97.3  MHz"	"FX"	"D"	"LIC"	"TONOPAH"	"NV"	"US"	"BLFT   -20070724ACM"	149465	"38-4-8N"	"117-13-29W"	"AMERICAN EDUCATIONAL BROADCASTING, INC."	38.0689	117.2247	0
"K247AY"	"97.3  MHz"	"FX"	"D"	"LIC"	"PAROWAN"	"UT"	"US"	"BLFT   -20070806AAG"	147973	"37-48-22N"	"112-56-40W"	"CANYON MEDIA GROUP, LLC"	37.8061	112.9444	0
"K247AZ"	"97.3  MHz"	"FX"	"D"	"LIC"	"SAND SPRINGS"	"TX"	"US"	"BLFT   -20070208AAP"	140699	"32-13-6N"	"101-27-9W"	"EDUCATIONAL MEDIA FOUNDATION"	32.2183	101.4525	0
"K247BA"	"97.3  MHz"	"FX"	"D"	"LIC"	"LAWTON"	"OK"	"US"	"BLFT   -20070905AAO"	157040	"34-34-36N"	"98-28-30W"	"DONALD L. WILLIAMSON"	34.5767	98.475	0
"K247BC"	"97.3  MHz"	"FX"	"D"	"LIC"	"JACKSON"	"WY"	"US"	"BLFT   -20080122AAH"	158404	"43-27-45N"	"110-45-3W"	"ROBERT R. RULE D.B.A. RULE COMMUNICATIONS"	43.4625	110.7508	0
"K247BD"	"97.3  MHz"	"FX"	"D"	"LIC"	"RURAL GARFIELD, ETC."	"UT"	"US"	"BLFT   -20051005AAE"	23228	"38-32-31N"	"112-4-21W"	"GARFIELD COUNTY"	38.5419	112.0725	0
"K247BE"	"97.3  MHz"	"FX"	"D"	"LIC"	"COWLEY, ETC."	"WY"	"US"	"BLFT   -20060925AFQ"	71803	"44-48-58N"	"107-54-12W"	"WESTERN INSPIRATIONAL BROADCASTERS, INC."	44.8161	107.9033	0
"K247BG"	"97.3  MHz"	"FX"	"D"	"LIC"	"NACOGDOCHES"	"TX"	"US"	"BLFT   -20070614AEQ"	156950	"31-41-28N"	"94-40-26W"	"E-STRING WIRELESS, LTD"	31.6911	94.6739	0
"K247BH"	"97.3  MHz"	"FX"	"D"	"LIC"	"GOODYEAR"	"AZ"	"US"	"BLFT   -20070904ABA"	147044	"33-22-51N"	"112-32-53W"	"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL"	33.3808	112.5481	0
"K248AB"	"97.5  MHz"	"FX"	"D"	"LIC"	"TELLURIDE"	"CO"	"US"	"BLFT   -19940121TF"	756	"37-57-5N"	"107-53-22W"	"CIMARRON COMMUNICATIONS CO. L.L.C."	37.9514	107.8894	0
"K248AC"	"97.5  MHz"	"FX"	"D"	"LIC"	"WHITEWATER"	"CO"	"US"	"BLFT   -20000918AKX"	21819	"39-1-0N"	"108-28-23W"	"CIMARRON COMMUNICATIONS CO., L.L.C."	39.0167	108.4731	0
"K248AD"	"97.5  MHz"	"FX"	"D"	"LIC"	"MENDOCINO"	"CA"	"US"	"BLFT   -19930901TA"	65698	"39-18-28N"	"123-48-0W"	"THE HENRY RADIO COMPANY"	39.3078	123.8	0
"K248AE"	"97.5  MHz"	"FX"	"D"	"LIC"	"MONTROSE"	"CO"	"US"	"BLFT   -20010409ABM"	58857	"38-23-16N"	"107-40-28W"	"CIMARRON COMMUNICATIONS CO., LLC"	38.3878	107.6744	0
"K248AF"	"97.5  MHz"	"FX"	"D"	"LIC"	"PAGOSA SPRINGS"	"CO"	"US"	"BLFT   -19940519TE"	22176	"37-15-39N"	"107-0-4W"	"MT COMMUNICATIONS LLC"	37.2608	107.0011	0
"K248AG"	"97.5  MHz"	"FX"	"D"	"LIC"	"COTTAGE GROVE"	"OR"	"US"	"BLFT   -19940531TG"	12502	"43-46-41N"	"123-2-33W"	"CUMULUS LICENSING LLC"	43.7781	123.0425	0
"K248AI"	"97.5  MHz"	"FX"	"D"	"LIC"	"CRAIG, ETC."	"AK"	"US"	"BLFT   -20040312AEX"	790	"55-27-51N"	"133-4-40W"	"ALASKA BROADCAST COMMUNICATIONS, INC"	55.4642	133.0778	0
"K248AJ"	"97.5  MHz"	"FX"	"D"	"LIC"	"MONTICELLO"	"UT"	"US"	"BLFT   -20040903ABR"	53618	"37-48-5N"	"109-25-30W"	"PROCLAIMING CHRIST'S LOVE MINISTRIES"	37.8014	109.425	0
"K248AM"	"97.5  MHz"	"FX"	"D"	"LIC"	"MCALLEN"	"TX"	"US"	"BLFT   -20021219AAX"	76880	"26-7-46N"	"98-10-56W"	"WORLD RADIO NETWORK, INC."	26.1294	98.1822	0
"K248AO"	"90.1  MHz"	"FX"	"D"	"LIC"	"JEFFERSON CITY"	"MO"	"US"	"BLFT   -19921228TB"	36251	"38-29-42N"	"92-5-1W"	"LAKE AREA EDUCATIONAL BROADCASTING FOUNDATION"	38.495	92.0836	0
"K248AP"	"97.5  MHz"	"FX"	"D"	"LIC"	"SILVERTHORNE"	"CO"	"US"	"BLFT   -20010713ABO"	86855	"39-36-50N"	"106-4-2W"	"SKANDIA, LLC"	39.6139	106.0672	0
"K248AR"	"97.5  MHz"	"FX"	"D"	"LIC"	"STANTON"	"TX"	"US"	"BLFT   -20070315ACM"	149509	"32-10-57N"	"101-46-59W"	"HORIZON CHRISTIAN FELLOWSHIP"	32.1825	101.7831	0
"K248AS"	"97.5  MHz"	"FX"	"D"	"LIC"	"WOODLAND PARK"	"CO"	"US"	"BLFT   -20090114AGM"	139102	"38-59-17.2N"	"105-3-46.05W"	"EDUCATIONAL COMMUNICATIONS OF COLORADO SPRINGS, INC."	38.9881	105.0628	0
"K248AT"	"97.5  MHz"	"FX"	"D"	"LIC"	"CRESTVIEW"	"CA"	"US"	"BLFT   -20040831AAC"	139743	"37-42-46N"	"118-39-26W"	"MONO COUNTY SERVICE AREA NO. 1"	37.7128	118.6572	0
"K248AV"	"97.5  MHz"	"FX"	"D"	"LIC"	"PAMPA"	"TX"	"US"	"BLFT   -20070419AEH"	149484	"35-31-3N"	"100-58-5W"	"HORIZON CHRISTIAN FELLOWSHIP"	35.5175	100.9681	0
"K248AY"	"97.5  MHz"	"FX"	"D"	"LIC"	"SIOUX CITY"	"IA"	"US"	"BLFT   -20070518ADM"	147458	"42-32-16N"	"96-26-58W"	"HORIZON CHRISTIAN FELLOWSHIP"	42.5378	96.4494	0
"K248AZ"	"97.5  MHz"	"FX"	"D"	"LIC"	"DEVILS LAKE"	"ND"	"US"	"BLFT   -20070604AAJ"	153825	"48-6-36N"	"98-51-38W"	"HORIZON CHRISTIAN FELLOWSHIP"	48.11	98.8606	0
"K248BA"	"97.5  MHz"	"FX"	"D"	"LIC"	"SLIDELL"	"LA"	"US"	"BLFT   -20080311ACV"	147981	"30-14-11N"	"89-42-4W"	"RADIO ASSIST MINISTRY, INC."	30.2364	89.7011	0
"K248BB"	"97.5  MHz"	"FX"	"D"	"LIC"	"NEW ORLEANS"	"LA"	"US"	"BMLFT  -20090914ACD"	147937	"29-57-0N"	"90-4-16W"	"RADIO ASSIST MINISTRY, INC."	29.95	90.0711	0
"K248BC"	"97.5  MHz"	"FX"	"D"	"LIC"	"DALLAS"	"TX"	"US"	"BLFT   -20100709AHG"	138792	"32-44-28N"	"96-53-42W"	"PENFOLD COMMUNICATIONS, INC."	32.7411	96.895	0
"K248BD"	"97.5  MHz"	"FX"	"D"	"LIC"	"HEMPHILL"	"TX"	"US"	"BLFT   -20070629CCB"	147130	"31-25-41N"	"93-54-43W"	"ALELUYA CHRISTIAN BROADCASTING, INC."	31.4281	93.9119	0
"K248BE"	"97.5  MHz"	"FX"	"D"	"LIC"	"SUN VALLEY"	"ID"	"US"	"BLFT   -20060622AAU"	138128	"43-39-42N"	"114-24-7W"	"SO. IDAHO CORP. OF 7TH-DAY ADVENTISTS DBA GEM STATE ACADEMY"	43.6617	114.4019	0
"K248BF"	"97.5  MHz"	"FX"	"D"	"LIC"	"COVINGTON"	"LA"	"US"	"BLFT   -20070806AAA"	147948	"30-27-50N"	"90-4-51W"	"RADIO ASSIST MINISTRY, INC."	30.4639	90.0808	0
"K248BJ"	"97.5  MHz"	"FX"	"D"	"LIC"	"MOHAVE VALLEY"	"AZ"	"US"	"BLFT   -20080206ABU"	147059	"34-59-19N"	"114-35-46W"	"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL"	34.9886	114.5961	0
"K248BL"	"97.5  MHz"	"FX"	"D"	"LIC"	"BILLINGS"	"MT"	"US"	"BLFT   -20080716ABE"	152964	"45-45-51N"	"108-27-18W"	"ELENBAAS MEDIA, INC."	45.7642	108.455	0
"K248BO"	"97.5  MHz"	"FX"	"D"	"LIC"	"LUFKIN"	"TX"	"US"	"BLFT   -20070614AEP"	156974	"31-21-55N"	"94-45-59W"	"E-STRING WIRELESS, LTD"	31.3653	94.7664	0
"K248BP"	"97.5  MHz"	"FX"	"D"	"LIC"	"OSAGE BEACH"	"MO"	"US"	"BLFT   -20081114AAO"	140757	"38-12-4N"	"92-48-3W"	"VIPER COMMUNICATIONS, INC."	38.2011	92.8008	0
"K248BS"	"97.5  MHz"	"FX"	"D"	"LIC"	"NEWBERG"	"OR"	"US"	"BLFT   -20090521AFN"	84930	"45-21-17N"	"122-59-22W"	"EDUCATIONAL MEDIA FOUNDATION"	45.3547	122.9894	0
"K248BT"	"97.5  MHz"	"FX"	"D"	"LIC"	"RAPID CITY"	"SD"	"US"	"BLFT   -20090825BIV"	85678	"44-2-49N"	"103-14-45W"	"NEW RUSHMORE RADIO, INC."	44.0469	103.2458	0
"K249AQ"	"97.7  MHz"	"FX"	"D"	"LIC"	"SAN ARDO & BRADLEY"	"CA"	"US"	"BLFT   -20080829AAG"	71986	"35-57-14N"	"120-59-23W"	"CALVARY CHAPEL OF TWIN FALLS, INC."	35.9539	120.9897	0
"K249AW"	"97.7  MHz"	"FX"	"D"	"LIC"	"STEAMBOAT SPRINGS"	"CO"	"US"	"BLFT   -19870324TN"	71643	"40-27-16N"	"106-44-34W"	"JOHN DADY"	40.4544	106.7428	0
"K249BK"	"97.7  MHz"	"FX"	"D"	"LIC"	"INTERNATIONAL FALLS"	"MN"	"US"	"BLFT   -19950125TB"	42973	"48-35-30N"	"93-24-19W"	"MINNESOTA PUBLIC RADIO"	48.5917	93.4053	0
"K249BS"	"97.7  MHz"	"FX"	"D"	"LIC"	"GRANTS PASS"	"OR"	"US"	"BLFT   -19840723MT"	71999	"42-27-10N"	"123-36-50W"	"OREGON ST BOARD OF HIGHER ED FOR THE UNIV OF OREGON"	42.4528	123.6139	0
"K249BX"	"97.7  MHz"	"FX"	"D"	"LIC"	"EAST SALT CREEK, ETC"	"CO"	"US"	"BLFT   -19841009TC"	41275	"39-36-1N"	"108-47-42W"	"MESA BROADCASTING COMPANY"	39.6003	108.795	0
"K249BY"	"97.7  MHz"	"FX"	"D"	"LIC"	"SOLDOTNA"	"AK"	"US"	"BLFT   -19870121TD"	813	"60-31-57N"	"151-4-51W"	"ALASKA VILLAGE MISSIONS, INC."	60.5325	151.0808	0
"K249CM"	"97.7  MHz"	"FX"	"D"	"LIC"	"POCATELLO"	"ID"	"US"	"BLFT   -19980511TB"	71781	"42-52-26N"	"112-30-47W"	"RIVERBEND COMMUNICATIONS, LLC"	42.8739	112.5131	0
"K249CQ"	"97.7  MHz"	"FX"	"D"	"LIC"	"PACKWOOD"	"WA"	"US"	"BLFT   -20080812ACZ"	37181	"46-36-9N"	"121-38-8W"	"LEWIS COUNTY GOSPEL ECHO"	46.6025	121.6356	0
"K249CS"	"97.7  MHz"	"FX"	"D"	"LIC"	"SUSANVILLE, ETC."	"CA"	"US"	"BLFT   -19880920TA"	8394	"40-26-49N"	"120-21-25W"	"CALVARY BAPTIST CHURCH, INC."	40.4469	120.3569	0
"K249CU"	"97.7  MHz"	"FX"	"D"	"LIC"	"CONCORDIA"	"KS"	"US"	"BLFT   -19871026TA"	13562	"39-34-28N"	"97-39-26W"	"GREAT PLAINS CHRISTIAN RADIO, INC."	39.5744	97.6572	0
"K249CV"	"97.7  MHz"	"FX"	"D"	"LIC"	"OMAK, ETC."	"WA"	"US"	"BLFT   -19871209TA"	31918	"48-27-15N"	"119-18-25W"	"MICHAEL WOLF"	48.4542	119.3069	0
"K249CW"	"97.7  MHz"	"FX"	"D"	"LIC"	"FREEDOM"	"WY"	"US"	"BLFT   -19880419TA"	38918	"43-1-23N"	"111-4-21W"	"LOWER STAR VALLEY TV ASSOCIATION"	43.0231	111.0725	0
"K249DA"	"97.7  MHz"	"FX"	"D"	"LIC"	"ORANGEVILLE"	"UT"	"US"	"BLFT   -19890925TA"	19494	"39-12-36N"	"111-8-30W"	"EMERY COUNTY"	39.21	111.1417	0
"K249DE"	"97.7  MHz"	"FX"	"D"	"LIC"	"DURANGO"	"CO"	"US"	"BLFT   -19961120TF"	76343	"37-20-16N"	"107-49-23W"	"WINTON ROAD BROADCASTING CO., LLC"	37.3378	107.8231	0
"K249DI"	"97.7  MHz"	"FX"	"D"	"LIC"	"HOUMA"	"LA"	"US"	"BLFT   -20090126ADY"	84546	"29-36-24N"	"90-41-42W"	"PROVIDENCE EDUCATIONAL FOUNDATION"	29.6067	90.695	0
"K249DJ"	"97.7  MHz"	"FX"	"D"	"LIC"	"SAN PABLO"	"CA"	"US"	"BLFT   -19980105TC"	19082	"37-57-29N"	"122-18-41W"	"EL CERRITO HIGH SCHOOL"	37.9581	122.3114	0
"K249DN"	"97.7  MHz"	"FX"	"D"	"LIC"	"GRAHAM"	"TX"	"US"	"BLFT   -20060724ADN"	139331	"33-6-14N"	"98-25-35W"	"CSSI NON-PROFIT EDUCATIONAL BROADCASTING CORPORATION"	33.1039	98.4264	0
"K249DO"	"97.7  MHz"	"FX"	"D"	"LIC"	"CLINTON"	"IA"	"US"	"BLFT   -20061116AED"	143206	"41-50-50N"	"90-13-49W"	"EDUCATIONAL MEDIA FOUNDATION"	41.8472	90.2303	0
"K249DR"	"97.7  MHz"	"FX"	"D"	"LIC"	"CEDAR CITY"	"UT"	"US"	"BLFT   -20070406ADH"	155010	"37-40-12N"	"113-4-59W"	"CANYON MEDIA GROUP, LLC"	37.67	113.0831	0
"K249DT"	"97.7  MHz"	"FX"	"D"	"LIC"	"ATCHISON"	"KS"	"US"	"BLFT   -20070409AAC"	152719	"39-33-47N"	"95-15-18W"	"EDUCATIONAL MEDIA FOUNDATION"	39.5631	95.255	0
"K249DU"	"97.7  MHz"	"FX"	"D"	"LIC"	"FLOYDADA"	"TX"	"US"	"BLFT   -20070507AAJ"	154911	"33-58-12N"	"101-20-28W"	"WORLD RADIO LINK, INC."	33.97	101.3411	0
"K249DV"	"97.7  MHz"	"FX"	"D"	"LIC"	"BAKER"	"LA"	"US"	"BLFT   -20090415AKV"	141228	"30-27-6N"	"91-11-14W"	"EDUCATIONAL MEDIA FOUNDATION"	30.4517	91.1872	0
"K249DW"	"97.7  MHz"	"FX"	"D"	"LIC"	"LITTLEFIELD"	"TX"	"US"	"BLFT   -20070525AJN"	154939	"33-58-39N"	"102-23-55W"	"HORIZON CHRISTIAN FELLOWSHIP"	33.9775	102.3986	0
"K249DX"	"97.7  MHz"	"FX"	"D"	"LIC"	"REDMOND"	"WA"	"US"	"BLFT   -20090728ACY"	149955	"47-38-39N"	"122-9-25W"	"SOUTH SOUND BROADCASTING L.L.C"	47.6442	122.1569	0
"K249ED"	"97.7  MHz"	"FX"	"D"	"LIC"	"ALBERTVILLE"	"MN"	"US"	"BLFT   -20071025AED"	141741	"45-7-36N"	"93-25-26W"	"EDUCATIONAL MEDIA FOUNDATION"	45.1267	93.4239	0
"K249EH"	"97.7  MHz"	"FX"	"D"	"LIC"	"HONOKOWA, ETC."	"HI"	"US"	"BLFT   -20100318AAC"	70376	"20-48-12N"	"156-51-51W"	"VISIONARY RELATED ENTERTAINMENT, INC."	20.8033	156.8642	0
"K250AB"	"97.9  MHz"	"FX"	"D"	"LIC"	"ROSWELL"	"NM"	"US"	"BLFT   -20070213AAC"	10924	"33-23-36N"	"104-37-27W"	"CALVARY CHAPEL OF ALBUQUERQUE, INC."	33.3933	104.6242	0
"K250AC"	"97.9  MHz"	"FX"	"D"	"LIC"	"ST. PETER"	"MN"	"US"	"BLFT   -19951106TE"	43008	"44-17-11N"	"93-57-45W"	"MINNESOTA VALLEY CHRISTIAN RADIO"	44.2864	93.9625	0
"K250AE"	"97.9  MHz"	"FX"	"D"	"LIC"	"LONGVIEW"	"WA"	"US"	"BLFT   -20080623ABZ"	2815	"46-8-57N"	"122-58-29W"	"BICOASTAL MEDIA LICENSES IV, LLC"	46.1492	122.9747	0
"K250AF"	"97.9  MHz"	"FX"	"D"	"LIC"	"LAS VEGAS"	"NV"	"US"	"BLFT   -20031211ACK"	56170	"35-53-34N"	"115-29-40W"	"RICHARD D. TATHAM"	35.8928	115.4944	0
